video_title,channel_uploader,author,publish_date,updated_date,like_count,text_display,url
Michigan’s Arab American vote: Gaza crisis shapes 2024 race| Explainer,Al Jazeera English,@BitWrecker,2024-11-07T05:49:51Z,2024-11-07T05:49:51Z,0,"Brilliant brains ....   Give the vote to the guy who will arm Benji, make Palestine a parking lot, and hand the entire region to Israel is the most lawless and violent fashion.   You just handed Poland to Adolph, smh",https://www.youtube.com/watch?v=3A_Ze7RAmU0
Michigan’s Arab American vote: Gaza crisis shapes 2024 race| Explainer,Al Jazeera English,@oliviahackshaw5267,2024-11-06T06:30:36Z,2024-11-06T06:30:36Z,0,Put Trump in power and MI will be worse than Gaza Arab voters take heed .,https://www.youtube.com/watch?v=3A_Ze7RAmU0
Michigan’s Arab American vote: Gaza crisis shapes 2024 race| Explainer,Al Jazeera English,@FJHarmon1972,2024-11-06T02:29:18Z,2024-11-06T02:29:18Z,0,&quot;Never trust someone who promises to do tomorrow what they had the power to do today!&quot; (ie Kamala...),https://www.youtube.com/watch?v=3A_Ze7RAmU0
Michigan’s Arab American vote: Gaza crisis shapes 2024 race| Explainer,Al Jazeera English,@riverboy-v8s,2024-11-05T20:36:19Z,2024-11-05T20:36:19Z,0,I need food. I need gas. I’m voting for Trump today.,https://www.youtube.com/watch?v=3A_Ze7RAmU0
Michigan’s Arab American vote: Gaza crisis shapes 2024 race| Explainer,Al Jazeera English,@jaysteven8135,2024-11-05T15:31:13Z,2024-11-05T15:31:13Z,0,Dearborn for Trump/stein,https://www.youtube.com/watch?v=3A_Ze7RAmU0
Michigan’s Arab American vote: Gaza crisis shapes 2024 race| Explainer,Al Jazeera English,@bramagic,2024-11-05T02:57:07Z,2024-11-05T02:57:07Z,0,"Leave  if u dont like. We dont need unhappy people asking for welfare also. And asking for healthcade, school education for free .  Contribute to society or leave. Go back to your amazing desertic countries.",https://www.youtube.com/watch?v=3A_Ze7RAmU0
Michigan’s Arab American vote: Gaza crisis shapes 2024 race| Explainer,Al Jazeera English,@jrock2019,2024-11-04T18:51:14Z,2024-11-04T18:51:14Z,0,This is just my opinion but if you vote jill stein you probably voted for kamala without knowing,https://www.youtube.com/watch?v=3A_Ze7RAmU0
Michigan’s Arab American vote: Gaza crisis shapes 2024 race| Explainer,Al Jazeera English,@ZDoko602,2024-11-04T18:00:48Z,2024-11-04T18:00:48Z,0,You only wish American voters cared about the Middle East. This election is going to be about abortion and the auto unions in Michigan.,https://www.youtube.com/watch?v=3A_Ze7RAmU0
Michigan’s Arab American vote: Gaza crisis shapes 2024 race| Explainer,Al Jazeera English,@cheeks4084,2024-11-04T16:13:41Z,2024-11-04T16:13:41Z,0,Democrats will win Michigan no matter Arabs betrayal. Blue collar vote is More crucial than the Arabs vote,https://www.youtube.com/watch?v=3A_Ze7RAmU0
Michigan’s Arab American vote: Gaza crisis shapes 2024 race| Explainer,Al Jazeera English,@glenglene8473,2024-11-04T15:55:34Z,2024-11-04T15:55:34Z,2,Trump is a person of peace. Vote for him if you prefer peace instead of wars.,https://www.youtube.com/watch?v=3A_Ze7RAmU0
