video_title,channel_uploader,author,publish_date,updated_date,like_count,text_display,url
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@HerNightmare_3,2024-11-05T22:04:46Z,2024-11-05T22:04:46Z,1,TRUMP 2024,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@DeLeted-yy4wm,2024-11-05T21:58:59Z,2024-11-05T21:58:59Z,0,So few vote but then a group of corporations pretend they won something and rig the country again be honest with yourself who is really winning this farce. Whats with these annoying adds sellout journalistic plebs. The war machines and fake currency gods never sleep but more so under the Democrats,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@MaleekThomas-ke1tf,2024-11-05T21:29:04Z,2024-11-05T21:29:04Z,11,Trump ALL THE WAY FROM JAMAICA 🇯🇲🇯🇲,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@RennierleeCorot,2024-11-05T21:10:36Z,2024-11-05T21:10:36Z,0,The slogan freedom for Kamala is not fit joe and Kamala destroy the world,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@sonjajelic6256,2024-11-05T20:43:03Z,2024-11-05T20:43:03Z,0,Putin for the president,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@nakiareed2349,2024-11-05T20:42:08Z,2024-11-05T20:42:08Z,0,💙💙💙💙,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@GeorgeBernard-q4i,2024-11-05T19:55:47Z,2024-11-05T19:55:47Z,190,"The upcoming US election has me worried about my investments. Every election cycle seems to impact the markets, and I’m not sure how to plan for it. Do you have any advice?",https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@babyfunclub1,2024-11-05T19:39:22Z,2024-11-05T19:39:22Z,0,Trump best ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️best of luck trump,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@DovahElioth,2024-11-05T19:27:45Z,2024-11-05T19:27:45Z,3,"In Brazil you would know by the end of the day, but Brazil and USA are very different countries, Brazil is a democracy not a falling apart corporocratic empire.",https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@Myjesus-1,2024-11-05T19:22:36Z,2024-11-05T19:22:36Z,0,Jesus is my king.,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@Tommy-i4x,2024-11-05T19:15:34Z,2024-11-05T19:15:34Z,0,Next year,https://www.youtube.com/watch?v=WKCDwc-GLe4
