video_title,channel_uploader,author,publish_date,updated_date,like_count,text_display,url
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@henrysmith9725,2024-11-03T04:24:30Z,2024-11-03T04:24:30Z,45,"They were both star struck, and both seemed to have a blast performing together.",https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@sanjivanisharma599,2024-11-03T04:24:29Z,2024-11-03T04:24:29Z,2,MAKING HISTORY SOON!!!!💙💙💙,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@codegr3y,2024-11-03T04:24:28Z,2024-11-03T04:24:28Z,2,THIS IS TOO ICONIC,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@JamesTheNerdd,2024-11-03T04:24:24Z,2024-11-03T04:24:24Z,2,love this tradition,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@Leonaza7,2024-11-03T04:24:23Z,2024-11-03T04:24:23Z,6,That was PURE GOLD to see the two Kamalas on SNL. We’re going to love having Madame Kamala Harris as President of the United States. 💙🇺🇸🗳️,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@bk-xk4qh,2024-11-03T04:24:22Z,2024-11-03T04:24:22Z,2,Wild,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@calliecollins7702,2024-11-03T04:24:22Z,2024-11-03T04:24:22Z,15,Tim vs. Tim was the best part!,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@mikkelnielsen440,2024-11-03T04:24:22Z,2024-11-03T04:24:22Z,0,🫡,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@civil_villain,2024-11-03T04:24:20Z,2024-11-03T04:24:20Z,2,What? No Trump cameo??,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@ytuser_3122,2024-11-03T04:24:19Z,2024-11-03T04:24:19Z,0,"There were too many ___Mala jokes, but this was still funny",https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@ari2131,2024-11-03T04:24:19Z,2024-11-03T04:24:19Z,0,1st one here 😅,https://www.youtube.com/watch?v=e6Funs6yyEw
2024 Pre-Election Cold Open - SNL,Saturday Night Live,@ramirezproductions0826,2024-11-03T04:24:18Z,2024-11-03T04:24:18Z,42,That ending with both Kamalas saying “Live from New York” is DEFINITELY gonna go down in history as the most iconic SNL moment of all time! 😊❤,https://www.youtube.com/watch?v=e6Funs6yyEw
